None | 2019110 | 2019-09-19 | 01 18 22 26 27 28 | 08 | 8 | 7,132,577 | 89 | 239,615 | 1,244 | 3,000 | 64,692 | 200 | 1,241,154 | 10 | 10,962,168 | 5 | 345,297,696 | 869,553,104 | None
None | 2019109 | 2019-09-17 | 03 06 07 17 28 31 | 10 | 5 | 8,306,978 | 218 | 94,810 | 1,579 | 3,000 | 86,504 | 200 | 1,598,625 | 10 | 9,087,920 | 5 | 339,057,352 | 862,636,404 | None
None | 2019108 | 2019-09-15 | 07 13 19 22 25 32 | 13 | 13 | 6,413,151 | 110 | 208,761 | 1,740 | 3,000 | 77,296 | 200 | 1,381,805 | 10 | 10,161,820 | 5 | 361,553,454 | 842,165,456 | None
None | 2019107 | 2019-09-12 | 02 06 08 23 27 32 | 02 | 2 | 10,000,000 | 54 | 475,645 | 948 | 3,000 | 47,755 | 200 | 1,008,211 | 10 | 6,988,194 | 5 | 326,852,234 | 856,645,293 | None
None | 2019106 | 2019-09-10 | 02 14 22 27 30 33 | 14 | 3 | 10,000,000 | 65 | 385,201 | 880 | 3,000 | 47,442 | 200 | 978,259 | 10 | 7,967,570 | 5 | 330,410,652 | 799,590,658 | None
None | 2019105 | 2019-09-08 | 02 13 15 17 26 33 | 01 | 6 | 8,463,242 | 85 | 305,580 | 1,125 | 3,000 | 58,000 | 200 | 1,131,852 | 10 | 9,740,915 | 5 | 365,092,568 | 754,476,375 | None
None | 2019104 | 2019-09-05 | 01 05 16 17 18 24 | 10 | 7 | 6,848,206 | 120 | 134,765 | 1,815 | 3,000 | 84,986 | 200 | 1,485,822 | 10 | 12,579,820 | 5 | 336,503,558 | 727,332,881 | None
None | 2019103 | 2019-09-03 | 04 12 14 21 27 29 | 12 | 2 | 10,000,000 | 101 | 268,873 | 797 | 3,000 | 50,497 | 200 | 1,005,488 | 10 | 6,541,588 | 5 | 334,444,954 | 726,754,909 | None
None | 2019102 | 2019-09-01 | 03 08 12 16 20 32 | 12 | 18 | 5,786,187 | 198 | 89,339 | 2,582 | 3,000 | 103,650 | 200 | 1,690,785 | 10 | 12,572,263 | 5 | 365,310,214 | 665,286,304 | None
None | 2019101 | 2019-08-29 | 01 04 09 21 31 33 | 05 | 4 | 6,477,614 | 77 | 95,948 | 1,933 | 3,000 | 97,693 | 200 | 1,644,068 | 10 | 18,662,760 | 5 | 336,008,906 | 716,370,043 | None
None | 2019100 | 2019-08-27 | 01 04 12 13 30 32 | 08 | 2 | 10,000,000 | 60 | 404,624 | 845 | 3,000 | 45,195 | 200 | 968,141 | 10 | 9,090,234 | 5 | 334,319,180 | 720,116,287 | None
None | 2019099 | 2019-08-25 | 07 14 22 23 27 30 | 08 | 26 | 5,524,776 | 185 | 92,190 | 2,027 | 3,000 | 96,967 | 200 | 1,636,993 | 10 | 12,809,107 | 5 | 355,328,056 | 667,283,924 | None
